,Accuracy,Precision,Recall,F1-Score,Specificity,Total Runtime (s),Total Runtime (min)
ZeroR,0.5923686497282855,0.7585319674526266,0.5923686497282855,0.44072786441856704,0.8,0.3655054569244385,0.006091757615407308
Random Forest,0.7882183572623633,0.7847964496085487,0.7882183572623633,0.7787855821647752,0.9173002402906351,542.948962688446,9.049149378140767
Decision Tree,0.7191704602933738,0.7214314223784319,0.7191704602933738,0.7202499642795344,0.9044601148779909,41.35693693161011,0.6892822821935017
Extra Trees,0.7842003553687924,0.7804625032753615,0.7842003553687924,0.7736199814119522,0.9142453051087303,258.8927652835846,4.314879421393076
