,Accuracy,Precision,Recall,F1-Score,Specificity,Total Runtime (s)
ZeroR,0.594543417134438,0.9189086834268876,0.2,0.1491444913310407,0.8,0.23863935470581055
Random Forest,0.7458886271905706,0.7591144353307362,0.5111737779389618,0.5835590070083125,0.9007169221048915,50.16252636909485
Decision Tree,0.6628985567395387,0.49339090329887847,0.5081572825652032,0.5004366147530027,0.8853360988254015,3.1598124504089355
Extra Trees,0.7410794882702664,0.7380429750653261,0.5167242812830738,0.5855001916755199,0.8968535255396175,25.67701005935669
