,Accuracy,Precision,Recall,F1-Score,Specificity,Total Runtime (s)
ZeroR,0.593829033889732,0.9187658067779465,0.2,0.1490320533164075,0.8,0.09200358390808105
Random Forest,0.7866749672515985,0.8146365384386713,0.6006365799039318,0.6749742784508174,0.9165735418689829,77.06814050674438
Decision Tree,0.7208150136829955,0.5807158753517382,0.6007057923361968,0.590211682342415,0.9050080693355069,4.872707843780518
Extra Trees,0.7851575165687457,0.8085049251963474,0.603597291726888,0.6760701840097114,0.9145639828615492,37.72710037231445
