,Accuracy,Precision,Recall,F1-Score,Specificity,Total Runtime (s)
ZeroR,0.5932212182785007,0.9186442436557002,0.2,0.1489363087743672,0.8,0.1289997100830078
Random Forest,0.7743634084129524,0.7997423180570115,0.5744156073508186,0.649241762927933,0.9116243280043065,68.28370571136475
Decision Tree,0.7004279970602222,0.5547916688217823,0.5669159177094801,0.5606819044739904,0.8981591048010813,4.349728584289551
Extra Trees,0.770005620163417,0.7804316097013907,0.5749393129190368,0.6449976034015096,0.9081296423255691,33.458258390426636
