Feature,Importance Score
Co-Borrower Credit Score,0.12080920914746418
Back,0.08505949519443046
BoAge,0.0845714598091198
LTV,0.07820323569750241
MinPer,0.07229646347289624
TraMedY,0.07151833004081799
Front,0.07064613061795395
CurAreY,0.0702429833051927
Income,0.07008128723152036
Rate,0.0697220416612491
FIPSCountyCode,0.0695883915595965
Amount,0.06863195970547437
UPB,0.06862901255678197
