Feature,Importance Score
Back,0.13978834249425975
Income,0.1321426611067791
TraMedY,0.12801928298840937
MinPer,0.1267346433631794
UPB,0.12406029164722052
Front,0.12056100997140837
BoAge,0.11496140877336027
Co-Borrower Credit Score,0.1137323596553833
