,Accuracy,Precision,Recall,F1-Score,Specificity,Total Runtime (s),Total Runtime (min)
ZeroR,0.5923686497282855,0.7585319674526266,0.5923686497282855,0.44072786441856704,0.8,0.5797207355499268,0.009662012259165445
Random Forest,0.8004228110449658,0.7977135937596961,0.8004228110449658,0.792265076981793,0.9220717922861883,1168.0274217128754,19.46712369521459
Decision Tree,0.734977886722955,0.7369926971524933,0.734977886722955,0.7359405516670888,0.9098219323960194,90.81250810623169,1.5135418017705282
Extra Trees,0.7973152795611066,0.7946136985831778,0.7973152795611066,0.7881657336671936,0.9193908770480725,586.4931721687317,9.774886202812194
