,Accuracy,Precision,Recall,F1-Score,Specificity,Total Runtime (s)
ZeroR,0.593873210209587,0.9187746420419174,0.2,0.14903900922746433,0.8,0.06099987030029297
Random Forest,0.800269765511517,0.831826645527415,0.6244740822705935,0.6983916521648679,0.922499474844434,85.75454425811768
Decision Tree,0.7346959950197136,0.6063691519229704,0.614090454898679,0.6101139839303041,0.9100162964664875,5.532785415649414
Extra Trees,0.7945372483917825,0.8206649427963184,0.6243426183058218,0.6955724748928003,0.9186336588535762,44.818315267562866
