,Accuracy,Precision,Recall,F1-Score,Specificity,Total Runtime (s),Total Runtime (min)
ZeroR,0.5923686497282855,0.7585319674526266,0.5923686497282855,0.44072786441856704,0.8,0.9998321533203125,0.016663869222005207
Random Forest,0.8065522742305747,0.8043066366468438,0.8065522742305747,0.798966101508659,0.9244515309319933,2413.1029925346375,40.21838320891062
Decision Tree,0.7430813327626681,0.7450946153227862,0.7430813327626681,0.7440397391706391,0.9126880686646384,185.99310874938965,3.0998851458231607
Extra Trees,0.803465494209045,0.8011618350678158,0.803465494209045,0.7950026381126042,0.9218608310197846,1174.1719281673431,19.569532136122387
