Feature,Importance Score
TraMedY,0.10959764730426326
Income,0.10920583692210178
BoAge,0.10382405324194564
UPB,0.10316911431621852
Amount,0.10264167548530265
LocMedY,0.10239856478741612
CurAreY,0.10237358059380729
Co-Borrower Credit Score_5,0.09771612482536078
MinPer,0.09630864612055434
CoAge,0.07276475640302955
